secs,nanos,val 
1455059186,986588038,23.3125
1455059656,969550071,23.375
1455059667,10722988,23.3125
1455062477,85431774,23.25
1455062487,59797493,23.3125
1455062927,62162754,23.25
1455062937,111581408,23.3125
1455063107,77783343,23.25
1455063117,104901694,23.3125
1455063167,94754760,23.25
1455063177,123891650,23.3125
1455063357,164567157,23.25
1455063367,189081982,23.3125
1455063457,159213576,23.25
1455063467,89209401,23.3125
1455063517,156006955,23.25
1455063527,101538884,23.3125
1455063597,177228254,23.25
1455063607,101574574,23.3125
1455063757,143537015,23.25
1455063767,113808059,23.3125
1455063827,111231150,23.25
1455063837,164879788,23.3125
1455063857,150092612,23.25
1455063867,162435290,23.3125
1455063897,136164611,23.25
1455063907,210700037,23.3125
1455063917,185333125,23.25
1455063927,84941566,23.3125
1455063937,109222416,23.25
1455063947,108414988,23.3125
1455063977,182109416,23.25
1455063987,106744768,23.3125
1455064027,179859285,23.25
1455064037,178737165,23.3125
1455064097,200441183,23.25
1455064117,125189475,23.3125
1455064157,197206110,23.25
1455064167,147057901,23.3125
1455064207,144795120,23.25
1455064217,144384466,23.3125
1455064237,93659111,23.25
1455064247,80745179,23.3125
1455064257,167441593,23.25
1455064267,166950736,23.3125
1455064277,116602104,23.25
1455064297,140544046,23.3125
1455064317,189032533,23.25
1455064337,163584151,23.3125
1455064357,137457302,23.25
1455064367,111766229,23.3125
1455064407,134453680,23.25
1455064417,109271719,23.3125
1455064437,108663771,23.25
1455064457,107057027,23.3125
1455064497,155700223,23.25
1455064507,204467410,23.3125
1455064517,129140276,23.25
1455064537,127865572,23.3125
1455064607,99963814,23.25
1455064617,123405113,23.3125
1455064637,122667010,23.25
1455064647,121955745,23.3125
1455064657,121776847,23.25
1455064707,119153542,23.3125
1455064727,93647783,23.25
1455064737,117760213,23.3125
1455064747,167131709,23.25
1455064757,141067213,23.3125
1455064767,116054064,23.25
1455064777,140229827,23.3125
1455064797,89696729,23.25
1455064817,162952672,23.3125
1455064847,87937314,23.25
1455064857,111036098,23.3125
1455064867,135587565,23.25
1455064877,110185635,23.3125
1455064887,134716820,23.25
1455064907,85300036,23.3125
1455064927,157457587,23.25
1455064937,107719200,23.3125
1455064947,156271467,23.25
1455064957,131241925,23.3125
1455064967,82654877,23.25
1455065017,128256115,23.3125
1455065047,76671285,23.25
1455065057,75872918,23.3125
1455065067,125160887,23.25
1455065117,98560837,23.3125
1455065127,97590252,23.25
1455065187,94083785,23.3125
1455065197,143696366,23.25
1455065217,34951397,23.3125
1455065227,117171571,23.25
1455065367,85237587,23.3125
1455065377,84322198,23.25
1455065417,107517020,23.3125
1455065427,56959271,23.25
1455065477,104429438,23.3125
1455065487,78616633,23.25
1455065507,77535151,23.3125
1455065517,77484074,23.25
1455065527,76647988,23.3125
1455065547,76030472,23.25
1455065577,73653661,23.3125
1455065587,73722759,23.25
1455065647,70567411,23.3125
1455065667,69649444,23.25
1455065677,68691432,23.3125
1455065687,68470764,23.25
1455065707,192601045,23.3125
1455065717,66596243,23.25
1455065747,64906051,23.3125
1455065757,114600825,23.25
1455065787,63617726,23.3125
1455065797,63155396,23.25
1455065837,60182106,23.3125
1455065847,60917687,23.25
1455065907,57079976,23.3125
1455065917,81668991,23.25
1455066027,51281651,23.3125
1455066047,76177045,23.25
1455066067,55490953,23.3125
1455066077,74340943,23.25
1455066087,73914511,23.3125
1455066097,62001508,23.25
1455066107,71621257,23.3125
1455066117,71220191,23.25
1455066127,45625987,23.3125
1455066157,69212773,23.25
1455066257,63575792,23.3125
1455066267,62951154,23.25
1455066317,60503192,23.3125
1455066327,60260035,23.25
1455066457,78240805,23.3125
1455066467,77562156,23.25
1455066867,81305476,23.3125
1455066877,81106046,23.25
1455067207,113978392,23.3125
1455067217,50601084,23.25
1455067377,79715827,23.3125
1455067387,54447127,23.25
1455067907,61776534,23.1875
1455067917,60489435,23.25
1455067947,50531642,23.1875
1455067957,58994860,23.25
1455068047,78113697,23.1875
1455068057,76682486,23.25
1455068097,75601821,23.1875
1455068107,92157932,23.25
1455068147,72204365,23.1875
1455068167,72487946,23.25
1455068187,70897927,23.1875
1455068287,83157447,23.25
1455068297,70354921,23.1875
1455068797,71991228,23.125
1455068807,80323897,23.1875
1455068887,56004791,23.125
1455068907,80165993,23.1875
1455068967,60291944,23.125
1455068997,58797662,23.1875
1455069007,74681551,23.125
1455069017,57353200,23.1875
1455069037,55923619,23.125
1455069057,55347197,23.1875
1455069067,46881369,23.125
1455069097,53183836,23.1875
1455069117,68415260,23.125
1455069127,43302776,23.1875
1455069137,51176038,23.125
1455069147,67348822,23.1875
1455069157,66235549,23.125
1455069227,62742379,23.1875
1455069237,62010259,23.125
1455069737,69217292,23.0625
1455069747,69401067,23.125
1455069787,57372398,23.0625
1455069797,66238191,23.125
1455069867,63147844,23.0625
1455069877,60720054,23.125
1455069917,59587693,23.0625
1455069927,60450129,23.125
1455069947,56904101,23.0625
1455069957,73074077,23.125
1455069987,71643659,23.0625
1455069997,80529050,23.125
1455070007,80181755,23.0625
1455070017,55374059,23.125
1455070027,68924480,23.0625
1455070037,78700056,23.125
1455070057,77303422,23.0625
1455070067,76843494,23.125
1455070087,66048687,23.0625
1455070097,75510141,23.125
1455070107,75355504,23.0625
1455070157,72716004,23.125
1455070167,71862672,23.0625
1455070177,71352922,23.125
1455070187,71003056,23.0625
1455070217,69356530,23.125
1455070227,68861174,23.0625
1455070367,62631132,23.125
1455070377,75438791,23.0625
1455071317,150255542,23.0
1455071327,163133042,23.0625
1455071377,147893446,23.0
1455071387,172079351,23.0625
1455071427,169929983,23.0
1455071477,167192875,23.0625
1455071497,141310715,23.0
1455071507,165435941,23.0625
1455071547,163250558,23.0
1455071557,137776020,23.0625
1455071567,187474132,23.0
1455071597,160824908,23.0625
1455071637,183815408,23.0
1455071647,133108147,23.0625
1455071657,157504977,23.0
1455071677,181831064,23.0625
1455071687,181323590,23.0
1455071697,180815791,23.0625
1455071717,154391209,23.0
1455071727,179013334,23.0625
1455071737,128420032,23.0
1455071747,159205817,23.0625
1455071767,151876203,23.0
1455071777,151393978,23.0625
1455071787,175918277,23.0
1455071817,124748421,23.0625
1455071827,148843748,23.0
1455071847,172780769,23.0625
1455071857,122774801,23.0
1455071877,121416667,23.0625
1455071887,146121805,23.0
1455071897,145771195,23.0625
1455071907,169762874,23.0
1455071917,144962700,23.0625
1455071937,143699642,23.0
1455071977,141750350,23.0625
1455071987,141339917,23.0
1455072017,164238845,23.0625
1455072027,188256872,23.0
1455072037,163446935,23.0625
1455072047,144293223,23.0
1455073277,198503689,22.9375
1455073287,273397586,23.0
1455073497,261719321,22.9375
1455073517,186162586,23.0
1455073577,207961733,22.9375
1455073587,232759688,23.0
1455073627,156931978,22.9375
1455073647,204150937,23.0
1455073657,203622597,22.9375
1455073667,178436898,23.0
1455073707,200979424,22.9375
1455073717,175803644,23.0
1455073757,198508068,22.9375
1455073767,173183269,23.0
1455073787,183425014,22.9375
1455073797,171877112,23.0
1455073807,145845570,22.9375
1455073817,170616101,23.0
1455073877,167760804,22.9375
