secs,nanos,val 
1455058756,24675292,24.25
1455059346,67636660,24.1875
1455059356,67044685,24.25
1455059436,62439262,24.1875
1455059446,37152624,24.25
1455059456,61269742,24.1875
1455059466,85673174,24.25
1455059556,30961118,24.1875
1455059566,55465438,24.25
1455059676,50419538,24.1875
1455059686,66179943,24.25
1455059726,71593912,24.1875
1455059746,96876769,24.25
1455059776,68945964,24.1875
1455059786,118805828,24.25
1455059816,86191664,24.1875
1455059826,91468914,24.25
1455059846,115104124,24.1875
1455059856,40272694,24.25
1455059866,66395730,24.1875
1455059876,90857974,24.25
1455059926,111864138,24.1875
1455059936,87385825,24.25
1455059966,133740874,24.1875
1455059986,132796980,24.25
1455060016,105774620,24.1875
1455060036,104660932,24.25
1455060066,102713266,24.1875
1455060116,69711376,24.25
1455060156,97880401,24.1875
1455060166,122673354,24.25
1455060176,66847269,24.1875
1455060186,96818811,24.25
1455060196,96214591,24.1875
1455060206,120843653,24.25
1455060226,119827347,24.1875
1455060236,70525187,24.25
1455060256,143206850,24.1875
1455060266,117100231,24.25
1455060296,109004302,24.1875
1455060316,139344831,24.25
1455060356,137302434,24.1875
1455060366,136930404,24.25
1455060376,136475223,24.1875
1455060436,133302105,24.25
1455060486,130075105,24.1875
1455060526,121566856,24.25
1455060536,102829249,24.1875
1455060586,118748267,24.25
1455060596,99608821,24.1875
1455060636,72062138,24.25
1455060656,146895864,24.1875
1455060676,119932644,24.25
1455060686,119794864,24.1875
1455060696,94164139,24.25
1455060706,143611053,24.1875
1455060726,142768154,24.25
1455060736,92076870,24.1875
1455060756,90807146,24.25
1455060766,114868468,24.1875
1455061366,81991920,24.25
1455061376,81656311,24.1875
1455061646,91922343,24.25
1455061656,92323010,24.1875
1455064166,57915185,24.125
1455064176,82020559,24.1875
1455064376,71880898,24.125
1455064386,96501517,24.1875
1455064406,95597348,24.125
1455064426,94977993,24.1875
1455064476,91373451,24.125
1455064496,85479935,24.1875
1455064516,71414027,24.125
1455064536,88397068,24.1875
1455064556,82188778,24.125
1455064566,94664349,24.1875
1455064606,91282602,24.125
1455064626,78791774,24.1875
1455064656,77244669,24.125
1455064666,88175991,24.1875
1455064766,95998857,24.125
1455064786,95156145,24.1875
1455064806,126021544,24.125
1455064816,98880705,24.1875
1455064826,98501073,24.125
1455064836,92737445,24.1875
1455064846,92351003,24.125
1455064856,91007880,24.1875
1455064896,101122224,24.125
