secs,nanos,val 
1455059067,957330047,22.625
1455059287,945307027,22.5625
1455059297,970216325,22.625
1455059347,953634364,22.5625
1455059357,978556068,22.625
1455059397,976859730,22.5625
1455059417,950162612,22.625
1455059437,937469132,22.5625
1455059447,948277745,22.625
1455059457,972952408,22.5625
1455059467,947169493,22.625
1455059557,925398272,22.5625
1455059567,955212043,22.625
1455059577,941309594,22.5625
1455059587,929173323,22.625
1455059597,940046182,22.5625
1455059607,965074837,22.625
1455059877,950483011,22.6875
1455059887,949630130,22.625
1455059907,972777058,22.6875
1455059917,914695640,22.625
1455059967,958191575,22.6875
1455059977,910795289,22.625
1455059987,943867953,22.6875
1455059997,968385463,22.625
1455060057,989866230,22.6875
1455060077,952059217,22.625
1455060097,928948065,22.6875
1455060147,984957660,22.625
1455060157,959582382,22.6875
1455060327,963360051,22.625
1455060337,935512748,22.6875
1455060608,35594440,22.75
1455060617,959878768,22.6875
1455060737,965790816,22.75
1455060747,978462861,22.6875
1455060827,989639186,22.75
1455060847,972610547,22.6875
1455060887,973868746,22.75
1455060897,984010303,22.6875
1455060967,978371728,22.75
1455060977,978618249,22.6875
1455060997,977275862,22.75
1455061007,968717193,22.6875
1455061027,975405659,22.75
1455061037,975494900,22.6875
1455061047,999255077,22.75
1455061057,951964112,22.6875
1455061077,997600299,22.75
1455061087,959085287,22.6875
1455061117,948300437,22.75
1455061127,974041285,22.6875
1455061137,994394487,22.75
1455061167,992533949,22.6875
1455061177,945725733,22.75
1455061187,982406454,22.6875
1455061197,953024571,22.75
1455061267,974334650,22.6875
1455061278,11757734,22.75
1455061307,972120534,22.6875
1455061327,959264173,22.75
1455061337,945124532,22.6875
1455061347,994602491,22.75
1455061417,990901790,22.6875
1455061427,965663655,22.75
1455061447,964451960,22.6875
1455061477,963722757,22.75
1455061627,954670787,22.6875
1455061638,3826554,22.75
1455061657,991158982,22.6875
1455061667,960647388,22.75
1455061698,631562,22.6875
1455061707,975133038,22.75
1455061847,943079690,22.6875
1455061857,991809588,22.75
1455061947,975286292,22.6875
1455061957,986480269,22.75
1455061997,972943552,22.6875
1455062008,9111426,22.75
1455062027,933302449,22.6875
1455062037,957187170,22.75
1455062167,988209244,22.6875
1455062177,963012590,22.75
1455062187,999105704,22.6875
1455062197,998582297,22.75
1455062217,997758761,22.6875
1455062227,984994764,22.75
1455062237,971122361,22.6875
1455062247,970880916,22.75
1455062267,960641246,22.6875
1455062277,994252550,22.75
1455062287,981844016,22.6875
1455062307,992256654,22.75
1455062557,967484022,22.6875
1455062567,970061604,22.75
1455062777,991985149,22.6875
1455062787,979328398,22.75
1455062847,988429630,22.6875
1455062857,962695584,22.75
1455063047,969815935,22.6875
1455063058,1550967,22.75
1455063067,993210556,22.6875
1455063077,975822256,22.75
1455063087,975108468,22.6875
1455063127,997995036,22.75
1455063137,972262126,22.6875
1455063147,972202673,22.75
1455063157,971984870,22.6875
1455063167,965363968,22.75
1455063187,986790681,22.6875
1455063197,994592066,22.75
1455063238,16981763,22.6875
1455063248,8395211,22.75
1455063267,990463468,22.6875
1455063278,14883748,22.75
1455063308,13136505,22.6875
1455063318,12650985,22.75
1455063358,9855698,22.6875
1455063378,9126492,22.75
1455063418,7460161,22.6875
1455063428,7111269,22.75
1455063458,5504577,22.6875
1455063487,991536015,22.75
1455063518,1507810,22.6875
1455063527,994482769,22.75
1455063567,998710218,22.6875
1455063577,998407578,22.75
1455063608,9676655,22.6875
1455063618,20731510,22.75
1455063668,6727936,22.6875
1455063678,17370033,22.75
1455063738,14429411,22.6875
1455063748,13793108,22.75
1455063808,10131042,22.6875
1455063857,982725362,22.75
1455063868,6956185,22.6875
1455063877,976922650,22.75
1455063887,995967739,22.6875
1455063898,6307329,22.75
1455063908,93172305,22.6875
1455063918,4714607,22.75
1455063947,971180114,22.6875
1455063978,26619910,22.75
1455064007,984767794,22.6875
1455064028,30540282,22.75
1455064048,23291956,22.6875
1455064078,33172496,22.75
1455064088,20716383,22.6875
1455064108,19657781,22.75
1455064117,986001168,22.6875
1455064138,30319748,22.75
1455064168,28605509,22.6875
1455064177,983270919,22.75
1455064187,982566584,22.6875
1455064218,1159571,22.75
1455064228,12938241,22.6875
1455064237,981131491,22.75
1455064248,2364447,22.6875
1455064268,22771355,22.75
1455064277,997798206,22.6875
1455064318,8423424,22.75
1455064337,995852481,22.6875
1455064357,989563837,22.75
1455064367,989139460,22.6875
1455064408,27923772,22.75
1455064417,998813527,22.6875
1455064438,15862683,22.75
1455064458,25858427,22.6875
1455064468,14439340,22.75
1455064477,996016370,22.6875
1455064488,13411361,22.75
1455064498,35373362,22.6875
1455064548,10027548,22.75
1455064598,14236530,22.6875
1455064608,4300603,22.75
1455064638,28211116,22.6875
1455064668,1895073,22.75
1455064678,25795280,22.6875
1455064708,24178328,22.75
1455064718,3092284,22.6875
1455064758,46432142,22.75
1455064768,8467614,22.6875
1455064778,20494294,22.75
1455064788,21047927,22.6875
1455064838,16472169,22.75
1455064858,29920461,22.6875
1455064888,38858908,22.75
1455064898,12972815,22.6875
1455064908,773511,22.75
1455064937,998581949,22.6875
1455064948,35795288,22.75
1455064967,986386071,22.6875
1455065018,8026954,22.75
1455065027,980625416,22.6875
1455065147,998879547,22.75
1455065158,24423699,22.6875
1455065178,23768192,22.75
1455065188,35325904,22.6875
1455065198,28598223,22.75
1455065208,2332590,22.6875
1455065368,38013282,22.75
1455065378,17431623,22.6875
1455065437,990516719,22.75
1455065447,990569981,22.6875
1455065478,6934959,22.75
1455065488,31560590,22.6875
1455065508,11624779,22.75
1455065518,29899376,22.6875
1455065618,6397992,22.75
1455065628,6308817,22.6875
1455065718,44065561,22.75
1455065728,20234224,22.6875
1455065738,24048793,22.75
1455065748,42457060,22.6875
1455066577,999327016,22.75
1455066588,8262441,22.6875
1455066757,990700845,22.75
1455066768,23820764,22.6875
1455070228,47820204,22.625
1455070238,26662254,22.6875
1455070318,29600702,22.625
1455070328,29440996,22.6875
1455070938,45914421,22.625
1455070948,38730088,22.6875
1455071378,59901865,22.625
1455071388,59291200,22.6875
1455071998,26314747,22.625
1455072008,112405558,22.6875
1455072448,63209046,22.625
1455072458,53700807,22.6875
1455072518,34833445,22.625
1455072528,83987694,22.6875
1455072558,70897764,22.625
1455072578,72192081,22.6875
1455073038,31421043,22.625
1455073048,69080584,22.6875
1455073108,77494554,22.625
1455073118,65359806,22.6875
1455073208,46948658,22.625
1455073218,84605179,22.6875
1455073228,71071986,22.625
1455073238,58647820,22.6875
1455073408,61382076,22.625
1455073418,73837916,22.6875
1455073448,71895582,22.625
1455073458,47146748,22.6875
1455073578,76657966,22.625
1455073588,64496448,22.6875
1455073718,69079581,22.625
1455073728,68315496,22.6875
1455073868,76878877,22.625
1455073878,85738951,22.6875
1455073888,84972355,22.625
1455073898,59047429,22.6875
1455074168,58075422,22.625
1455074178,68847770,22.6875
1455074208,67116622,22.625
1455074218,79706826,22.6875
1455074308,111710909,22.625
1455074328,85621899,22.6875
1455074378,82720855,22.625
1455074388,75446167,22.6875
1455074448,89058007,22.625
1455074458,92133619,22.6875
1455074528,74605523,22.625
1455074538,62409477,22.6875
1455074558,97967667,22.625
1455074568,56723200,22.6875
1455074628,62547612,22.625
1455074638,69318713,22.6875
1455074758,100427323,22.625
1455074778,75588552,22.6875
1455074828,96318192,22.625
1455074848,108033963,22.6875
1455074878,93495392,22.625
1455074898,92481790,22.6875
1455074918,66237870,22.625
1455074928,91643666,22.6875
1455074978,88138652,22.625
1455074988,87738545,22.6875
1455075038,46830766,22.625
1455075058,70782077,22.6875
1455075068,70218905,22.625
1455075078,107741675,22.6875
1455075118,130270551,22.625
1455075128,95955253,22.6875
1455075168,127561371,22.625
1455075178,127195410,22.6875
1455075248,85015301,22.625
1455075268,110716024,22.6875
1455075338,80221953,22.625
1455075348,104837649,22.6875
1455075358,104456685,22.625
1455075368,67218080,22.6875
1455075378,102884779,22.625
1455075398,76901157,22.6875
1455075408,92683433,22.625
1455075428,64084148,22.6875
1455075458,73637656,22.625
1455075468,82709268,22.6875
1455075488,60118893,22.625
1455075498,121487271,22.6875
1455075508,84493829,22.625
1455075518,79466321,22.6875
1455075548,56980445,22.625
1455075558,118083294,22.6875
1455075568,106415926,22.625
1455075578,67361739,22.6875
1455075628,103030498,22.625
1455075638,101944538,22.6875
1455075648,63110022,22.625
1455075678,111857712,22.6875
1455075698,98897062,22.625
1455075708,68643892,22.6875
1455075718,84386138,22.625
1455075728,72161899,22.6875
1455075768,97741374,22.625
1455075788,44162970,22.6875
1455075878,84836734,22.625
1455075888,91666565,22.6875
1455075898,87995164,22.625
1455075908,86956699,22.6875
1455075988,94857137,22.625
1455075998,60299658,22.6875
1455076038,92061803,22.625
1455076068,56461833,22.6875
1455076078,103107316,22.625
1455076098,101926896,22.6875
1455076108,101028509,22.625
1455076128,54193986,22.6875
1455076138,85753154,22.625
1455076178,59133206,22.6875
1455076188,49917797,22.625
1455076228,94375553,22.6875
1455076258,117643041,22.625
1455076278,53916266,22.6875
1455076288,103110603,22.625
1455076318,101453442,22.6875
1455076328,100835435,22.625
1455076358,99077170,22.6875
1455076378,97917098,22.625
1455076398,72237747,22.6875
1455076418,84308054,22.625
1455076448,94196939,22.6875
1455076468,93066300,22.625
1455076488,82753225,22.6875
1455076498,104764597,22.625
1455076508,193686897,22.6875
1455076528,77698984,22.625
1455076538,89802277,22.6875
1455076548,79867935,22.625
1455076578,61972980,22.6875
1455076598,60710654,22.625
1455076638,58513079,22.6875
1455076648,82936970,22.625
1455076668,75316366,22.6875
1455076678,131786684,22.625
1455076688,94494077,22.6875
1455076698,105123052,22.625
1455076758,102244088,22.6875
1455076768,126292991,22.625
1455076778,101054616,22.6875
1455076798,113016446,22.625
1455076808,165644261,22.6875
1455076828,123073162,22.625
1455076838,97155082,22.6875
1455076848,96937966,22.625
1455076858,121203224,22.6875
1455076868,95802724,22.625
1455076898,93878775,22.6875
1455076908,93542769,22.625
1455076958,116621371,22.6875
1455076968,90086901,22.625
1455076978,114791481,22.6875
1455076988,87632893,22.625
1455077048,99321411,22.6875
1455077058,135342282,22.625
1455077088,84508854,22.6875
1455077098,108132274,22.625
1455077138,81837403,22.6875
1455077148,98192527,22.625
1455077168,93020522,22.6875
1455077178,128981360,22.625
1455077198,78603250,22.6875
1455077228,74622445,22.625
1455077258,100381835,22.6875
1455077268,93118448,22.625
1455077278,98647830,22.6875
1455077298,122385131,22.625
1455077308,122093287,22.6875
1455077318,96530594,22.625
1455077338,95407528,22.6875
1455077358,119340324,22.625
1455077368,93576957,22.6875
1455077378,93272680,22.625
1455077418,116427797,22.6875
1455077428,115895915,22.625
1455077488,137007058,22.6875
1455077498,136562109,22.625
1455077538,134379165,22.6875
1455077548,133785240,22.625
1455077578,132391404,22.6875
1455077608,130204987,22.625
1455077628,129468530,22.6875
1455077638,128712327,22.625
1455077648,79532973,22.6875
1455077658,127717819,22.625
1455077668,127226844,22.6875
1455077678,94675920,22.625
1455077698,126315949,22.6875
1455077708,215143713,22.625
1455077738,98815803,22.6875
1455077768,71879878,22.625
1455077798,95813653,22.6875
1455077808,119543020,22.625
1455077848,142485671,22.6875
1455077868,116425136,22.625
1455077898,141004951,22.6875
1455077908,139140564,22.625
1455077918,138812831,22.6875
1455077958,136670782,22.625
1455077978,136114524,22.6875
1455077988,109756208,22.625
1455078038,107343742,22.6875
1455078068,131439536,22.625
1455078258,133745946,22.6875
1455078268,144961980,22.625
1455078298,118884297,22.6875
1455078308,118084332,22.625
1455078468,135094474,22.6875
1455078488,83203294,22.625
1455078598,116601998,22.6875
1455078608,101783470,22.625
1455078678,160595469,22.6875
1455078688,160045483,22.625
1455078798,153642837,22.6875
1455078808,153268304,22.625
1455078858,112718444,22.6875
1455078878,125459510,22.625
1455078898,110270065,22.6875
1455078908,263018773,22.625
1455078998,105062373,22.6875
1455079008,129310897,22.625
1455079358,123077647,22.6875
1455079368,122951279,22.625
1455079418,157505188,22.6875
1455079428,132175831,22.625
1455082908,141460800,22.5625
1455082928,103982763,22.625
1455083128,168134367,22.5625
1455083138,119781343,22.625
1455083888,163198248,22.5625
1455083898,162605220,22.625
1455084338,131367625,22.5625
1455084348,163361810,22.625
1455084448,157621606,22.5625
1455084458,124285600,22.625
1455084788,139422237,22.5625
1455084798,163431690,22.625
1455085048,174948112,22.5625
1455085058,148841253,22.625
1455085168,193377981,22.5625
1455085178,150690214,22.625
1455085268,152426844,22.5625
1455085278,175371206,22.625
1455085308,150461003,22.5625
1455085318,148492153,22.625
1455085328,172577645,22.5625
1455085338,172335372,22.625
1455085528,200079541,22.5625
1455085538,168230613,22.625
1455085598,188120256,22.5625
1455085628,143329565,22.625
1455085758,161186476,22.5625
1455085768,161059937,22.625
1455085798,184214420,22.5625
1455085818,182764328,22.625
1455085828,220581138,22.5625
1455085838,147490403,22.625
1455085858,180784612,22.5625
1455085868,155065139,22.625
1455085948,200951041,22.5625
1455085968,162753037,22.625
1455085978,162509731,22.5625
1455085998,173041657,22.625
1455086068,194303139,22.5625
1455086078,134569925,22.625
1455086128,191737721,22.5625
1455086138,156622966,22.625
1455086148,153265661,22.5625
1455086178,151851999,22.625
1455086188,162641382,22.5625
1455086198,153466153,22.625
1455086268,183512119,22.5625
1455086278,182839890,22.625
1455086288,172978743,22.5625
1455086308,206121456,22.625
1455086318,164097030,22.5625
1455086328,180394936,22.625
1455086348,178847656,22.5625
1455086358,166723140,22.625
1455086378,165951823,22.5625
1455086398,164810286,22.625
1455086408,164006356,22.5625
1455086418,175215095,22.625
1455086428,174405233,22.5625
1455086458,161716712,22.625
1455086468,147382297,22.5625
1455086478,160751869,22.625
1455086488,171357768,22.5625
1455086498,171223170,22.625
1455086508,170229168,22.5625
1455086518,157981239,22.625
1455086548,193436854,22.5625
1455086558,167643091,22.625
1455086608,165025496,22.5625
1455086618,202731962,22.625
1455086628,188920229,22.5625
1455086658,187174414,22.625
1455086678,176671055,22.5625
1455086698,185207103,22.625
1455086708,159294116,22.5625
1455086718,197456802,22.625
1455086728,183529857,22.5625
1455086748,170702562,22.625
1455086758,181974158,22.5625
1455086788,180779871,22.625
1455086838,177016668,22.5625
1455086868,175535276,22.625
1455086878,163332514,22.5625
1455086888,174242312,22.625
1455086908,198593742,22.5625
1455086918,163448790,22.625
1455086938,159925688,22.5625
1455086948,160142318,22.625
1455086958,146053145,22.5625
1455086978,177652545,22.625
1455087008,168253119,22.5625
1455087018,192962760,22.625
1455087048,166245377,22.5625
1455087058,165507028,22.625
1455087078,189101577,22.5625
1455087098,189578715,22.625
1455087138,174662632,22.5625
1455087148,210360109,22.625
1455087158,168233884,22.5625
1455087178,209117123,22.625
1455087188,158029415,22.5625
1455087228,181582799,22.625
1455087248,155153361,22.5625
1455087258,179372837,22.625
1455087268,203837675,22.5625
1455087278,168650270,22.625
1455087288,177851113,22.5625
1455087298,190489666,22.625
1455087308,276533501,22.5625
1455087318,175808929,22.625
1455087328,200415890,22.5625
1455087358,173731712,22.625
1455087368,173177882,22.5625
1455087378,136123929,22.625
1455087388,172176443,22.5625
1455087408,184364002,22.625
1455087428,195167054,22.5625
1455087438,194843051,22.625
1455087458,193254422,22.5625
1455087578,212442853,22.625
1455087598,174646971,22.5625
1455087628,208884649,22.625
1455087638,208657300,22.5625
1455087668,157195305,22.625
1455087698,180486733,22.5625
1455087708,154980895,22.625
1455087728,153561655,22.5625
1455087738,178386540,22.625
1455087748,202398731,22.5625
1455087768,176573817,22.625
1455087778,175836611,22.5625
1455087798,174864249,22.625
1455087808,224594476,22.5625
1455087828,173682851,22.625
1455087838,210955906,22.5625
1455087858,187626995,22.625
1455087868,171549563,22.5625
1455087878,195635384,22.625
1455087898,194343418,22.5625
1455087918,184073582,22.625
1455087928,217993663,22.5625
1455087948,191900281,22.625
1455087968,165785778,22.5625
1455087978,204785228,22.625
1455087988,214841747,22.5625
1455088058,185608973,22.625
1455088068,173286419,22.5625
1455088088,183930929,22.625
1455088098,198185987,22.5625
1455088148,169321601,22.625
1455088188,203254709,22.5625
1455088218,193655074,22.625
1455088228,226110660,22.5625
1455088268,199271535,22.625
1455088278,215734012,22.5625
1455088298,222515316,22.625
1455088308,185601111,22.5625
1455088318,187457327,22.625
1455088328,184085253,22.5625
1455088378,202278814,22.625
1455088388,156044308,22.5625
1455088398,217190206,22.625
1455088418,191568019,22.5625
1455088448,164409046,22.625
1455088468,177070910,22.5625
1455088508,236206256,22.625
1455088528,198422135,22.5625
1455088538,198216608,22.625
1455088548,172214907,22.5625
1455088558,173942256,22.625
1455088568,183736888,22.5625
1455088578,220919648,22.625
1455088588,231609518,22.5625
1455088598,232030773,22.625
1455088608,205760199,22.5625
1455088628,204584463,22.625
1455088638,217909455,22.5625
1455088678,219806419,22.625
1455088688,201821352,22.5625
1455088708,200666689,22.625
1455088718,200377022,22.5625
1455088748,223506432,22.625
1455088758,198151930,22.5625
1455088778,221358364,22.625
1455088808,232374291,22.5625
1455088908,202404215,22.625
1455088918,183175941,22.5625
1455088988,198296070,22.625
1455088998,222313730,22.5625
1455089008,234444672,22.625
1455089018,234237727,22.5625
1455089138,214336900,22.625
1455089148,213721144,22.5625
1455089258,169842929,22.625
1455089268,194611006,22.5625
1455089368,252232015,22.625
1455089378,213269544,22.5625
1455089388,239059338,22.625
1455089398,228703337,22.5625
1455089468,196922673,22.625
1455089478,232673584,22.5625
1455089598,226588198,22.625
1455089618,225334866,22.5625
1455089648,174210578,22.625
1455089658,198079748,22.5625
1455089748,192952776,22.625
1455089758,233160786,22.5625
1455089828,189090054,22.625
1455089838,238511916,22.5625
1455089848,237496095,22.625
1455089858,212086187,22.5625
1455089868,175479217,22.625
1455089888,210560731,22.5625
1455089928,196835025,22.625
1455089938,191719712,22.5625
1455089978,193988066,22.625
1455089998,195046441,22.5625
1455090058,191661288,22.625
1455090068,200471997,22.5625
1455090098,199217779,22.625
1455090108,186642423,22.5625
1455090138,210268043,22.625
1455090148,235536195,22.5625
1455090188,194128945,22.625
1455090198,218632087,22.5625
1455090208,242897446,22.625
1455090218,217812226,22.5625
1455090228,191838678,22.625
1455090258,240391524,22.5625
1455090288,213992528,22.625
1455090298,216455667,22.5625
1455090348,185393857,22.625
1455090368,209383613,22.5625
1455090378,233747848,22.625
1455090398,207511461,22.5625
1455090428,206041782,22.625
1455090458,229404080,22.5625
1455090478,194666273,22.625
1455090488,202492314,22.5625
1455090498,227429860,22.625
1455090528,175471486,22.5625
1455090548,199679698,22.625
1455090558,223877404,22.5625
1455090568,249132685,22.625
1455090578,222842595,22.5625
1455090608,246131597,22.625
1455090648,218883900,22.5625
1455090658,236101424,22.625
1455090668,182002284,22.5625
1455090688,230279774,22.625
1455090718,232090418,22.5625
1455090728,190083199,22.625
1455090748,239013462,22.5625
1455090758,188159896,22.625
1455090768,187612651,22.5625
1455090808,210222228,22.625
1455090818,184607396,22.5625
1455090838,225521686,22.625
1455090858,182850176,22.5625
1455090878,181523529,22.625
1455090888,205662206,22.5625
1455090918,204485233,22.625
1455090938,178992631,22.5625
1455090958,244207914,22.625
1455090978,218690679,22.5625
1455090988,225569307,22.625
1455090998,217430348,22.5625
1455091028,198247115,22.625
1455091048,247075254,22.5625
1455091078,235370869,22.625
1455091088,195484009,22.5625
1455091098,210443234,22.625
1455091118,168596751,22.5625
1455091198,231958601,22.625
1455091208,238404895,22.5625
1455091278,209896881,22.625
1455091288,233915211,22.5625
1455091298,183985457,22.625
1455091318,224145746,22.5625
1455091348,255717749,22.625
1455091358,230459650,22.5625
1455091398,216430931,22.625
1455091408,252067677,22.5625
1455091428,227026237,22.625
1455091438,195124605,22.5625
1455091478,248424983,22.625
1455091498,229011943,22.5625
1455091508,312325529,22.625
1455091518,245998708,22.5625
1455091538,208743831,22.625
1455091548,219790695,22.5625
1455091588,242817826,22.625
1455091598,192975999,22.5625
1455091618,233708898,22.625
1455091638,239881778,22.5625
1455091668,213458475,22.625
1455091678,207880245,22.5625
1455091688,236748004,22.625
1455091698,236701750,22.5625
1455091758,208726665,22.625
1455091768,258345866,22.5625
