secs,nanos,val 
1455059186,11567663,23.125
1455059585,997845727,23.1875
1455059596,14004129,23.125
1455059606,22356214,23.1875
1455059616,13115625,23.125
1455062966,134904175,23.0625
1455062976,85125720,23.125
1455063126,102550590,23.0625
1455063136,101379451,23.125
1455063206,122122549,23.0625
1455063216,121922149,23.125
1455063526,130987895,23.0625
1455063536,154852248,23.125
1455063546,104324346,23.0625
1455063556,154054902,23.125
1455063686,147420130,23.0625
1455063696,146667556,23.125
1455063806,140920425,23.0625
1455063816,140227320,23.125
1455063886,148340705,23.0625
1455063896,136175059,23.125
1455063926,109468629,23.0625
1455063936,109234694,23.125
1455063976,156875846,23.0625
1455063986,131397223,23.125
1455064006,142146417,23.0625
1455064016,130020728,23.125
1455064026,154017175,23.0625
1455064046,128290997,23.125
1455064116,124679715,23.0625
1455064126,123933838,23.125
1455064146,148211384,23.0625
1455064156,172216425,23.125
1455064216,144212186,23.0625
1455064226,143765314,23.125
1455064246,93194105,23.0625
1455064256,167676216,23.125
1455064276,116270489,23.0625
1455064286,165793434,23.125
1455064336,137897923,23.0625
1455064346,162618018,23.125
1455064376,136048539,23.0625
1455064386,160549260,23.125
1455064396,134839180,23.0625
1455064406,134351316,23.125
1455064416,96061143,23.0625
1455064426,109160928,23.125
1455064486,106479494,23.0625
1455064496,155008621,23.125
1455064536,127872452,23.0625
1455064546,127497770,23.125
1455064556,101646099,23.0625
1455064566,126238017,23.125
1455064586,125098361,23.0625
1455064596,136104926,23.125
1455064636,122576249,23.0625
1455064646,121952167,23.125
1455064696,144092653,23.0625
1455064706,118875158,23.125
1455064716,130669923,23.0625
1455064726,108911575,23.125
1455064736,133345884,23.0625
1455064746,166971695,23.125
1455064756,141046532,23.0625
1455064766,140690579,23.125
1455064786,116533430,23.0625
1455064806,189065957,23.125
1455064826,137727250,23.0625
1455064866,135725031,23.125
1455064886,134508193,23.0625
1455064906,99482665,23.125
1455064926,157302599,23.0625
1455064936,85560303,23.125
1455064976,120433450,23.0625
1455065006,104411284,23.125
1455065016,118897963,23.0625
1455065026,105391879,23.125
1455065046,103038310,23.0625
1455065056,102194404,23.125
1455065066,125166536,23.0625
1455065086,124464271,23.125
1455065106,160644905,23.0625
1455065116,122819162,23.125
1455065146,122846781,23.0625
1455065156,111268382,23.125
1455065166,145034446,23.0625
1455065216,57347301,23.125
1455065226,142092170,23.0625
1455065286,116722100,23.125
1455065296,138901741,23.0625
1455065316,139304093,23.125
1455065326,137584882,23.0625
1455065346,111937955,23.125
1455065356,85258382,23.0625
1455065386,134033501,23.125
1455065416,132615253,23.0625
1455065426,81742052,23.125
1455065446,80628372,23.0625
1455065456,78878501,23.125
1455065476,128926154,23.0625
1455065506,102148676,23.125
1455065526,101725999,23.0625
1455065536,100840751,23.125
1455065546,100262536,23.0625
1455065566,99083851,23.125
1455065576,88412037,23.0625
1455065616,96491168,23.125
1455065636,60815479,23.0625
1455065656,94576891,23.125
1455065666,94177819,23.0625
1455065736,115537869,23.125
1455065746,89873872,23.0625
1455065796,87056527,23.125
1455065826,73661468,23.0625
1455065846,84836323,23.125
1455065856,84027618,23.0625
1455065886,70703743,23.125
1455065896,82397517,23.0625
1455065946,92444204,23.125
1455065956,78753460,23.0625
1455065976,102647644,23.125
1455065986,77563505,23.0625
1455066016,100785639,23.125
1455066046,99179537,23.0625
1455066096,96728131,23.125
1455066106,96149873,23.0625
1455066146,93938611,23.125
1455066156,93285697,23.0625
1455066216,90727849,23.125
1455066226,90025153,23.0625
1455066256,88264981,23.125
1455066266,87933698,23.0625
1455066316,74988738,23.125
1455066336,84570558,23.0625
1455066456,103182034,23.125
1455066476,77243357,23.0625
1455066516,100014124,23.125
1455066526,89456264,23.0625
1455066586,86294588,23.125
1455066596,95973798,23.0625
1455066616,84765746,23.125
1455066626,94507687,23.0625
1455066656,92925940,23.125
1455066676,79741253,23.0625
1455066706,76642016,23.125
